Test_Name,Abbreviation,Author,Dual_Wider,Dual_Narrow,Others,Dual_Wider_OR_Others,Dual_Narrow_OR_Others,Ashford_Review_A,Ashford_Review_C,Ashford_Review_D,Ashford_Review_E,Ashford_Review_F,Ashford_Review_G,Ashford_Review_H,Ashford_Review_J,Cullen_T1,Cullen_T2,Cullen_T3,Lischka_Review,Tsoi_Review,Zhou_Review,General_searches
Clinical Dementia Rating Scale,CDR,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Extended Scale for Dementia,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Category Fluency - Set Test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cognisyst,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alzheimer's Staging Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yokota Memory Test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Confusion Assessment Method,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trail making Test,TMT,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cognitive Section of CAMDEX,CAMDEX,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Functional Assessment Test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental Alternation test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Category and Letter Fluency,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cognitive Drug Research,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cognitive Screening Test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ottowa Mental Status Exam,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rowland Universal Dementia Assessment Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AD8,AD8,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS Vital Signs,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cog Screen,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cognitive Stability Index,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cognitive Stability Index,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cognometer,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Computer-Administered Neuropsychological Screen for Mild Cognitive Impairment (NB BATTERY),to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Global Clinical Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Global Deterioration Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Halifax Mental Status Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Interactive-Voice Recognition Dementia Screen,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mattis Dementia Rating Scale,DRS,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Medical Care Corporation,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Medical Decision Logic, Inc",to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MemTrax,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
