,title,keywords
1,Genome-wide association analyses identify 44 risk variants and refine the genetic architecture of major depression.,NA
2,"Chronic stress, cortisol dysfunction, and pain: a psychoneuroendocrine rationale for stress management in pain rehabilitation.",NA
3,Identification of common genetic risk variants for autism spectrum disorder.,NA
4,"Synthetic cannabinoids: epidemiology, pharmacodynamics, and clinical implications.",CB(1)/CB(2) agonists and Designer drug and Epidemiology and Pharmacodynamics and Spice and Synthetic cannabinoids
5,"Update on Pathophysiology, Treatment, and Complications of Carcinoid Syndrome.",NA
6,No. 355-Physiologic Basis of Pain in Labour and Delivery: An Evidence-Based Approach to its Management.,Nonpharmacological pain management and delivery and labour
7,Screen-time is associated with inattention problems in preschoolers: Results from the CHILD birth cohort study.,NA
8,Understanding bruxism in children and adolescents.,NA
9,Identifying patients' support needs following critical illness: a scoping review of the qualitative literature.,Critical illness and Qualitative research and Recovery and Scoping review and Support needs
10,Combined therapy with levothyroxine and liothyronine for hypothyroidism.,Epistemonikos and GRADE and addition of LT3 and combination therapy and hypothyroidism
11,Pain Severity and Anxiety Sensitivity Interplay Among Exclusive and Dual Electronic Cigarette Users.,NA
12,Impairment-driven cancer rehabilitation: an essential component of quality care and survivorship.,cancer rehabilitation and disability and impairment and impairment-driven and long-term effects and occupational therapy and physiatry and physical therapy and prehabilitation and side effects and speech therapy and survivorship
13,Late Diagnosis of Congenital Hypothyroidism in Young Adult.,congenital and hypothyroidism and young adult
14,Post-exertional malaise in veterans with gulf war illness.,*Chronic disease and *Cognition and *Exercise and *Fatigue and *Pain and *Persian Gulf War
15,The sensory and affective components of pain: are they differentially modifiable dimensions or inseparable aspects of a unitary experience? A systematic review.,cognition and hypnosis and imagery and pain measurement and pain perception
16,Care of the Colorectal Cancer Survivor.,NA
17,Chronic fatigue syndrome in the emergency department.,SEID and myalgic encephalomyelitis and orthostatic intolerance and patient satisfaction and postexertional malaise and systemic exertion intolerance disease
18,"Children's self-report of pain intensity: what we know, where we are headed.",NA
19,Sleep disturbance predicts future health status after stroke.,*patient-reported outcomes and *sleep and *stroke
20,Psychopathy and neurodynamic brain functioning: A review of EEG research.,*Brain response and *EEG and *ERP and *LPP and *Psychopathy and *Psychophysiology
21,The role of psychological factors in pediatric functional abdominal pain disorders.,NA
22,Neuroticism predicts fear of falling after hip fracture.,*Falls Efficacy Scale International and *falls and *fear of falling and *femoral fractures and *hip fracture and *intertrochanteric fractures and *neuroticism and *personality
23,eHealth and mHealth Psychosocial Interventions for Youths With Chronic Illnesses: Systematic Review.,chronic illness and eHealth and mHealth and mental health and pediatrics and psychosocial interventions
24,Depression and anxiety symptoms are related to pain and frailty but not cognition or delirium in older surgical patients.,aging and anxiety and depression and frailty and pain and postoperative cognitive decline and postoperative complications
25,Placebo Effect on Modulating Empathic Pain: Reduced Activation in Posterior Insula.,empathy for pain and picture-based paradigm and placebo effect and posterior insula and sensory area
26,"Effect of an Anterior Cingulotomy on Pain, Cognition, and Sensory Pathways.",Cingulotomy and Cognition and Pain
27,Zebrafish models relevant to studying central opioid and endocannabinoid systems.,*Endocannabinoid system and *High-throughput screening and *Opioid system and *Zebrafish
28,Gulf War Illness: Mechanisms Underlying Brain Dysfunction and Promising Therapeutic Strategies.,Chemical exposures and Coenzyme Q10 and Cognitive dysfunction and Curcumin and DNA methylation and Depression and Microbiota and Mitochondrial dysfunction and Neuroinflammation and Oxidative Stress
29,The Gut Microbiome Feelings of the Brain: A Perspective for Non-Microbiologists.,autoimmunity and axis and brain and dysbiome and gut and intestine and mechanisms and microbiome and pathways
30,Application of autonomic nervous function evaluation to job stress screening.,Physiology
31,Robot-assisted line bisection in patients with Complex Regional Pain Syndrome.,NA
32,Exploring the effects of visual perspective on the ERP components of empathy for pain.,*ERP and *Empathy and *attention and *pain and *sensory misattribution
33,Impact of infant crying on mothers with a diagnosis of borderline personality disorder: A qualitative study.,*Borderline-Persönlichkeitsstörung and *Mères  and *Mütter and *Nourrisson  and *Pleurs  and *Qualitatif and *Säugling and *Trastorno Limítrofe de Personalidad (TLP) and *Trouble de la personnalité limite  and *Weinen/Schreien and *borderline personality disorder and *crying and *cualitativo and *infant and *infante and *llanto and *madres and *mothers and *qualitativ and *qualitative research and *اضطراب الشخصية الحديه and *الأمهات and *البكاء and *الدراسة الوصفية and *الرضع and *乳幼児 and *哭泣 and *境界性パーソナリティ障害 and *嬰兒 and *定性 and *母親 and *泣くこと and *質的 and *邊緣人格障礙
34,A new visual acuity test on touchpad for vision screening in children.,application and children and screening and visual acuity
35,The role of psychological factors in inflammatory rheumatic diseases: From burden to tailored treatment.,*Adjustment problems and *Cognitive-behavioral factors and *Psychology and *Rheumatic disease and *Stress
36,Distance Education in Anesthesia Using Screen-Based Simulation - A Brief Integrative Review.,anesthesia and computer and distance education and screen-based and simulation and virtual
37,Perioperative hyperglycemia and neurocognitive outcome after surgery: a systematic review.,NA
38,Routines and rituals: a grounded theory of the pain management of drug users in acute care settings.,NA
39,Routine alcohol screening in the ED: unscreened patients have an increased risk for hazardous alcohol use.,alcohol abuse and emergency department and emergency department management and quality improvement
40,Brain-computer interface for individuals after spinal cord injury.,NA
41,Testosterone and Resting State Connectivity of the Parahippocampal Gyrus in Men With History of Deployment-Related Mild Traumatic Brain Injury.,NA
42,Enhanced Neural Empathic Responses in Patients with Spino-Bulbar Muscular Atrophy: An Electrophysiological Study.,empathy and event-related potentials and experience-sharing and mentalizing and spino-bulbar muscular atrophy (SBMA)
43,"The Perceptions of Trauma, Complaints, Somatization, and Coping Strategies among Syrian Refugees in Germany-A Qualitative Study of an At-Risk Population.",*Syria and *coping and *refugees and *somatization and *symptoms and *trauma
44,The relationship between anticipated response and subsequent experience of cancer treatment-related side effects: A meta-analysis comparing effects before and after treatment exposure.,Cancer and Cancer treatment and Conditioning and Expectancies and Expectancy and Side effects
45,Neural responses to one's own name under mortality threat.,*Arousal and *Christian and *ERP and *Mortality threat and *Self
46,Therapeutic Efficacy of Home-Use Photobiomodulation Devices: A Systematic Literature Review.,home use and low-level laser therapy and over the counter and photobiomodulation and self-applied
47,Complications associated with chemotherapy in testicular cancer management.,NA
48,Screening Mammography Among Older Women: A Review of United States Guidelines and Potential Harms.,*breast cancer and *guidelines and *mammography and *nursing homes and *older adults and *screening
49,Exploring hyperhidrosis and related thermoregulatory symptoms as a possible clinical identifier for the dysautonomic subtype of Parkinson's disease.,Autonomic and Dyskinesia and Hyperhidrosis and Non-motor symptoms and Parkinson’s disease
50,Breast cancer survivorship issues.,Cognitive changes and Infertility and Musculoskeletal pain and Neuropathy and Osteoporosis and Sexual dysfunction and Treatment-related cancers and Vasomotor symptoms
51,Treatment and prevention of postoperative complications in hip fracture patients: infections and delirium.,NA
52,Randomized Controlled Trial in Advance Stage Breast Cancer Patients for the Effectiveness on Stress Marker and Pain through Sudarshan Kriya and Pranayam.,Cancer and Pain and Pranayam and Stress and Sudarshan kriya and Yoga
53,"Primary Sjogren's syndrome: cognitive symptoms, mood, and cognitive performance.",NA
54,Osteopathic Manipulative Treatment: HVLA Procedure - Cervical Vertebrae.,NA
55,A Performing Arts Intervention Improves Cognitive Dysfunction in 50 Hospitalized Older Adults.,Alternative and complementary medicine/care/therapy and Delirium and Quality of care
56,Magnetic resonance imaging in pediatric sickle cell anemia.,magnetic resonance imaging and sickle cell disease and stroke
57,"The Longitudinal Parallel Process Analysis of Biomarkers of Oxidative Stress, Symptom Clusters, and Cognitive Function in Children With Leukemia.",*biomarkers and *cognitive functioning and *leukemia and *symptom cluster
58,Health-Related Quality of Life Changes in Prostate Cancer Patients after Radical Prostatectomy: A Longitudinal Cohort Study.,Health-related quality of life and Prostate neoplasms and Radical prostatectomy and Social function
59,Intravenous parecoxib for early postoperative cognitive dysfunction in elderly patients: evidence from a meta-analysis.,Parecoxib and joint surgery and meta-analysis and postoperative cognitive dysfunction and randomized controlled trials
60,Focal Dermal Hypoplasia.,Goltz Syndrome and Goltz-Gorlin Syndrome and Goltz Syndrome and Goltz-Gorlin Syndrome and Protein-serine O-palmitoleoyltransferase porcupine and PORCN and Focal Dermal Hypoplasia
61,Comparison of clinical characteristics of patients with pandemic SARS-CoV-2-related and community-acquired pneumonias in Hungary - a pilot historical case-control study.,*Aging population and *Case-control study and *Pneumonia and *Prediction and *SARS-CoV-2
62,The Tactile Dimensions of Abstract Paintings: A Cross-Modal Study.,Abstract painting and cross-modal association and texture and top-down influence and touch and vision
63,pSynGAP1 disturbance-mediated hippocampal oscillation network impairment might contribute to long-term neurobehavioral abnormities in sepsis survivors.,*SynGAP and *cognitive dysfunction and *oscillation and *proteomic
64,Long-Time Exposure to Violent Video Games Does Not Show Desensitization on Empathy for Pain: An fMRI Study.,empathy and empathy for pain and fMRI and violence and violent video games
65,[Definition of ashi point from the view of linguistics].,acupuncture theory and ashi point and cognitive linguistics and definition and semanteme analysis
66,Effect of community based practice of Baduanjin on self-efficacy of adults with cardiovascular diseases.,NA
67,Development of a Semaphore of Anemia: Screening Method Based on Photographic Images of the Ungueal Bed Using a Digital Camera.,NA
68,Empirical validation of the Horowitz Multiple Systemic Infectious Disease Syndrome Questionnaire for suspected Lyme disease.,Babesia and Borrelia burgdorferi and Lyme disease and MSIDS and Multiple Systemic Infectious Disease Syndrome and PTLDS and Post-Treatment Lyme Disease Syndrome and factor analysis
69,"Mental illness in metropolitan, urban and rural Georgia populations.",NA
70,Identification of new drug candidates against Borrelia burgdorferi using high-throughput screening.,BacTiter-Glo assay and Borrelia burgdorferi and Lyme disease and high-throughput screening and persisters
71,Prevalence of and factors associated with homebound status among adults in urban and rural Spanish populations.,*Ageing and *Dependence and *Disability and *Homebound status and *Older people
72,A computer-based screening method for distress in patients with multiple sclerosis: a feasibility study.,anxiety and cognitive functioning and computer-based and depression and distress and feasibility and multiple sclerosis and screening
73,Prescription medication misuse among HIV-infected individuals taking antiretroviral therapy.,Antiretroviral therapy and HIV and Prescription medication misuse
74,The relationship between mirror-touch synaesthesia and empathy: New evidence and a new screening tool.,*Empathy and *facial expression and *mirror-touch and *simulation and *synaesthesia
75,Hypnotherapy for Procedural Pain and Distress in Children: A scoping Review Protocol.,Children and Distress and Hypnotherapy and Procedural Pain and Scoping Review
76,Parkinson's disease with hypocalcaemia: adult presentation of 22q11.2 deletion syndrome.,calcium and bone and genetics and neurology and parkinson’s disease
77,Quality of life in Malaysian colorectal cancer patients.,EORTC QLQ C-30 and colorectal cancer and quality of life
78,Feasibility and Reliability of Muscle Strength Testing in Critically Ill Children.,critical illness and muscle strength testing and muscle weakness and neuromuscular disorder and pediatrics and reliability
79,Understanding gastrointestinal distress: a framework for clinical practice.,NA
80,A clinical screening protocol for the RSVP Keyboard brain-computer interface.,Augmentative and alternative communication and brain–computer interface and cognition and locked-in syndrome and screening
81,Refinement of the symptom screening in pediatrics tool (SSPedi).,NA
82,Therapeutic Efficacy of Home-Use Photobiomodulation Devices: A Systematic Literature Review.,home use and low-level laser therapy and over the counter and photobiomodulation and self-applied
83,Antepartum and postpartum anemia: a narrative review.,Anemia and Postpartum period and Pregnancy
84,"Self-reported quality of sleep is associated with bodily pain, vitality and cognitive impairment in Japanese older adults.",bodily pain and cognitive status and quality of life and quality of sleep and vitality
85,[DGRW-update: neurology--from empirical strategies towards evidence based interventions].,NA
86,Hypersexual Disorder According to the Hypersexual Disorder Screening Inventory in Help-Seeking Swedish Men and Women With Self-Identified Hypersexual Behavior.,Gender and Hypersexual Disorder and Hypersexual Disorder Screening Inventory and Screening Inventory and Sexual Compulsivity
87,Lead and children: clinical management for family physicians.,NA
